,reviews
0,"Chose the airline so children can fly back to regional airports in the UK for university, and also because on the face of it,they look good value. I was surprised when I was charged over 100 pounds just to choose seats. When there are 4 people, this becomes very expensive. Other carriers such as Singapore don't charge. Also the Boeing 777s in the fleet are terrible, absolutely no room on them and a really uncomfortable long haul experience."
1,"Excellent in-flight service and really good helping people with limited mobility. I was travelling with sprained foot and they were good not only to pick me up, let me know what's next but also spoke good English and were very helpful."
2,My mom flew from Heathrow to Dubai on Friday 25th November 2022 on flight EK096 which was scheduled for 22:00 but unfortunately due to some problems it departed at 23:30 but Emotates Authorities did not bother about passengers to serve them dome food or refreshments while the flight wasn't boarding n which is not a very good sign of service n is a disgrace n disappointment thing.So I will make sure that  me or any of my family members or relatives do not fly from Emirates at all unless they imptheir services.
3,I have back problems so I take my own pillow on the plane. A tempur. I happened to forget it on the plane. When I called this morning they confirmed it is not in the lost and found!!! Why do Emirates not check the plane for forgotten items before allowing the cleaners on the plane!!
4,My flight from Dubai to Birmingham on March 25th 2020 was cancelled because of Covid. The booking was made through Opodo who will not refund me because they say Emirates have not refunded them. I thought Emirates were better this!
5,"I live in Australia and frequently travel overseas. One of very rude/disresctful Emirates  staff member in Lahore Pakistan weighed my laptop bag and fined me PKR Rs.23390/-. He was not providing me proper information and was not even willing to talk to me or guide me. I travelled in 3-countries over the period of 3-weeks using Emirates airline and no one weighed my laptop bag except for this unprofessional Emirates staff member who weighed my laptop bag. I travel frequently and this has happened for the first time that I was charged extra money to bring my laptop bag. None of the other airlines (Quantas, JetStar, Thai Airways, Malaysia Air, Oman Air, Etihad Air, Qatar Airways). Even Emirates airline did this only on this occasion or may be it was just this unprofessional staff member"
6,"Reserved Emirates flight from London Gatwick to Dhaka via Dubai. Booked economy Seat From LGW/DXB -Paid Upper Deck Seat . Dubai Dhaka Business Class. Reported at check in desk on time . Double check with counter that , when will get Wheelchair . The lady from counter replied that, not possible  to provide wheelchair as my seat is in upper deck. I asked her if any complications for wheelchair just arrange to drop me in boarding Gate. She told me not possible at all. If i will move my seat from upper deck to main deck then only possible . I asked her why . She told me we Emirates don’t provide wheelchair service in upper deck.  I asked her what will happen ,the passengers who needs wheelchair assistance & traveling in businesses class obviously seats in upper deck. She didn’t respond. Then , I been to the boarding pass counter incharge Emirates Staff- kristy as Dnata staff are not possible to make any decision without Emirates staff concern. She told me same . We can not provide wheelchair assistance in upper deck. I told her no need upper deck as I need until the boarding Room . She refused me . Very Worst Service ever in my life , received from Emirates Gatwick Airport Staff . Avoid Emirates , who need special Assistance I mean wheelchair . Avoid Avoid Avoid . Never recommend emirates again as emirates Paying RUD Staffs in Gatwick airport."
7,"Tourist class that feels like first class, great food, superb hospitality and the most comfortable seats an airline can have, top notch, 10/10!!"
8,"This was amazing, the seats were ultra comfy with loots of legroom and generous recline. My flight left on time. The food was very nice, it was a very gilling p, well cooked and still warm meal. The IFE, Emirates calls it ICE(information, communication, entertainment) Would definitely pay extra to fly again if it was an option"
9,10/12/22 Flight # A380-800 I was not feeling well and I wanted to order a coffee. I first contacted them through the app and they told me to call any flight attendant which I did. I ordered a coffee at 6 PM and we are about to land I never see the flight attendant with my coffee. Perhaps they were standing in the back laughing and chatting. Disgraceful! Their customer service sucks
10,"Boeing 777's are at least 10 years old - seats have been compressed to the point where there is barely any cushioning, so my backside was numb for the entirety of the flight. The seat in front is also guaranteed to be reclined in your face. Worse: tried to cancel a booking only to discover that the Covid freedoms are very much a thing of the past and was charged almost the entire cost of the flight in cancellation charges alone. There is no need for this. Bragging that they have ""the most generous baggage allowance of any airline"" is completely erroneous - you will be ripped off for this as much as for the flight itself. Keen to recoup your losses after the pandemic, Emirates? How about you don't leave this shortfall at the doorstep of your customers. Shameful."
11,"Emirates Airlines has a well deserved recommendation for excellence from all that I have heard in the past.We flew Emirates from Miami to Dubai and the flight was excellent. A truly comfortable Business Class, fine dining and attentive staff.  It was incredible how comfortable we were for 14 hours or so in the air.The area they truly are lacking is in their Customer Service.  I had an issue with their requirement for PCR tests at the airport because our vaccine card did not have a QR code.  When I looked at the web site, deep in the fine print was the information about that requirement.  What was truly upsetting is that multiple other travelers from other cities on direct flights on Emirates were not asked for QR codes.  I attempted to discuss this with Customer Service.  I admitted I had missed the information on their web site and the Emirates representative would only refer back to that admission on my part.  The Customer Service rep would not admit that the requirement information was poorly displayed.  Even though I had furthur comments to make, the Customer Service representative closed the discussion and I have been unable to receive further responses from them.  Great flight but soured by poor service, poor communication a lack of interest in the customer and a lack of transparency that was disturbing.An excellent business makes sure the customer is happy before, during and after the transaction.  An excellent business makes sure the customer is valued."
12,"Absolutely awful experience travelling with an infant. Flight attendant refused to provide bottled drinking water for making infant formula and out baby stroller was damaged in transit.  Emirates is trying to get out of paying compensation to replace the stroller in full. Do not use the airline if you’re travelling infants, absolute nightmare of an airline. Never again!"
13,"I agree with all the reviews terrible Airline. Our Luggage was so badly damaged they had to give us a new disgusting case to get us home, our case was part of a beautiful set of 3, We through there's away it was so bad, We got no compensation ""Shame on Emirates"""
14,I got a Emirates flight from Dublin to Dubai and Dubai to Sydney on the 6/09/2022.From Dubai to Sydney the man in the seat behind me would not let me put my seat down he put his feet on my seat.When I complained airline staff offer a middle seat I had a aisle seat.The person who cause the problem should be removed from his seat not me. Security is needed on the plane.Another problem when I got my baggage at the airport my clothes were wet.My baggage was left in the rain somewhere.
